disease,description,symptoms
Hypoparathyroidism,"Hypoparathyroidism (sometime called ""hypopara"") is a rare condition where small glands in your neck (parathyroid glands) do not work properly. It can lead to problems with your bones, muscles and nerves, but can usually be treated by taking supplements.
Hyperparathyroidism is a condition where there is too much calcium in the body. It is more common than hypoparathyroidism.","Hypoparathyroidism often starts if glands in your neck are damaged during surgery.
Symptoms include:
- a tingling or burning sensation in your fingers, toes and face
- muscle pain, stiffness and spasms
- tummy pain
- brittle nails, dry hair and dry skin
- cataracts (cloudy patches that form at the front of your eyes)
Less common and more serious symptoms include:
- confusion
- an irregular heartbeat
- seizures (fits)"
Hypothermia,"Hypothermia is a dangerous drop in body temperature below 35C (normal body temperature is around 37C). It's a medical emergency that needs to be treated in hospital.
A baby with hypothermia may be:","- shivering
- pale, cold and dry skin – skin and lips may turn blue or grey (on black or brown skin this may be easier to see on the palms of the hands or the soles of the feet)
- slurred speech
- slow breathing
- tiredness or confusion"
"Overview
    
 - 
      Underactive thyroid (hypothyroidism)","An underactive thyroid gland (hypothyroidism) is where your thyroid gland does not produce enough hormones.
Common signs of an underactive thyroid are tiredness, weight gain and feeling depressed.","- tiredness
- weight gain
- depression
- being sensitive to the cold
- dry skin and hair
- muscle aches"
"Overview
    
 - 
      Hysterectomy","A hysterectomy is a surgical procedure to remove the womb (uterus). You'll no longer be able to get pregnant after the operation.
If you have not already gone through themenopause, you'll no longer have periods, regardless of your age.",N/A
Hysteroscopy,"A hysteroscopy is a test to look inside a woman's womb, using a thin tube with a small camera inside it. The womb is where a baby grows in pregnancy.
Anyone with a womb can have a hysteroscopy, as long as they are not pregnant.",N/A
Inflammatory bowel disease,"Inflammatory bowel disease (IBD) is a term used to describe conditions that cause severe tummy pain and diarrhoea. IBD is long-term, but there are treatments that can help with the symptoms.
The main types of IBD areCrohn's diseaseandulcerative colitis.","The main symptoms of inflammatory bowel disease (IBD) can include:
- diarrhoea that lasts longer than 4 weeks
- tummy pain
- blood or mucus (clear slime) in your poo
- bleeding from your bottom
- feeling tired all the time
- losing weight without trying"
Ichthyosis,"Ichthyosis is a group of rare skin conditions thatcausedry,scaly skin.It's usually something you're born with, but it can happen later in life. It cannot usually becured, but there are treatments to help the symptoms.
The main symptom of ichthyosis is very dry, scaly skin that may also be thick and rough.",There are things you can do to help ease ichthyosis symptoms at home.
"Overview
    
 - 
      Idiopathic pulmonary fibrosis","Idiopathic pulmonary fibrosis (IPF) is a condition in which the lungs become scarred and breathing becomes increasingly difficult.
It's not clear what causes it, but it usually affects people who are around 70 to 75 years old, and is rare in people under 50.","The symptoms of IPF tend to develop gradually and get slowly worse over time.
Symptoms can include:
- shortness of breath
- a persistent drycough
- tiredness
- loss of appetite andweight loss
- rounded and swollen fingertips (clubbed fingers)
Many people ignore their breathlessness at first and blame it on getting old or being out of shape.
But eventually even light activity such as getting dressed can cause shortness of breath."
Ileostomy,"Read about ileostomy, an operation to bring the end of your small bowel through an opening in your tummy to form a stoma. Find out why it's done, what it involves, possible complications and what to expect after the operation.",N/A
Impetigo,"Impetigo is a skin infection that's very contagious but not usually serious. Anyone can get it, but it's more common in young children. With treatment, impetigo often gets better in a few days.
Impetigo starts with red sores or blisters, but the redness may be harder to see on brown and black skin.",N/A
"Overview
    
 - 
      Urinary incontinence","Urinary incontinence is the unintentional passing of urine. It's a common problem thought to affect millions of people.
There are several types of urinary incontinence, including:","The lower urinary tract includes the bladder and the tube that urine passes through as it leaves the body (urethra).
Lower urinary tract symptoms (LUTS) are common as people get older.
They can include:
- problems with storing urine, such as an urgent or frequent need to pass urine or feeling like you need to go again straight after you've just been
- problems with passing urine, such as a slow stream of urine, straining to pass urine, or stopping and starting as you pass urine
- problems after you've passed urine, such as feeling that you've not completely emptied your bladder or passing a few drops of urine after you think you've finished
Experiencing LUTS can make urinary incontinence more likely."
Indigestion,"Most people have indigestion (dyspepsia) at some point. Usually, it's not a sign of anything more serious and you can treat it yourself.
Indigestion can be felt in different ways.","- heartburn – a painful burning feeling in the chest, often after eating
- feeling full and bloated
- feeling sick
- burping and farting
- bringing up food or bitter-tasting fluids into your mouth"
Infected piercings,"An infected piercing can be serious if it's not treated quickly. Get immediate medical help if you think your piercing is infected.
For the first few weeks a new piercing might:","Your piercing might be infected if:
- the area around it is swollen, painful, hot, very red or dark (depending on your skin colour)
- there's blood or pus coming out of it – pus can be white, green or yellow
- you feel hot or shivery or generally unwell"
"Overview
    
 - 
      Infertility","Infertility is when a couple cannot get pregnant (conceive) despite having regular unprotected sex.
Around 1 in 7 couples may have difficulty conceiving.",N/A
Ingrown hairs,"Ingrown hairs cause bumps, which are often itchy, where a hair has grown back into the skin. There are things you can do to treat and prevent them and in most cases you will not need to a see a GP for treatment.
Ingrown hairs can look like raised, itchy bumps on the skin.",N/A
Ingrown toenail,"An ingrown toenail is a common problem where the nail grows into the toe. It can be painful, but there are things you can do to ease the pain.
You usually get an ingrown toenail on your big toe. But you can get them on any toe.",N/A
Insect bites and stings,"Insect bites or stings are not usually serious and get better in a few days. But sometimes they can become infected or cause a serious allergic reaction.
Bites from some insects can also cause illnesses, such asLyme diseasefrom ticks,scabiesfrom mites, andmalariafrom mosquitoes in certain parts of the world.","If there's nothing in your skin, or you've removed it, wash your skin with soap and water to help lower the chance of infection.
The bite or sting should get better in a few days. There are some things you can do to ease your symptoms."
Insomnia,"Insomnia means you regularly have problems sleeping. It usually gets better by changing your sleeping habits.
You have insomnia if you regularly:",N/A
Intensive care,"Intensive care units (ICUs) are specialist hospital wards that provide treatment and monitoring for people who are very ill.
They're staffed with specially trained healthcare professionals and contain sophisticated monitoring equipment.",N/A
Intracranial hypertension,"Intracranial hypertension (IH) is a build-up of pressure around the brain.
It can happen suddenly, for example, as the result of a severehead injury,strokeor rupturedbrain aneurysm.","Symptoms of intracranial hypertension (IH) can include:
- a constant throbbing headache which may be worse in the morning, or when coughing or straining; it may improve when standing up
- temporary loss of vision – your vision may become dark or ""greyed out"" for a few seconds at a time; this can be triggered by coughing, sneezing or bending down
- feeling and being sick
- feeling sleepy
- feeling irritable
- finding it difficult or painful to look at bright lights (photophobia)
- hearing a pulsing rhythmic noise in your ears (pulsatile tinnitus)
- problems with co-ordination and balance
- mental confusion
- loss of feeling or weakness"
Intrauterine insemination (IUI),"Intrauterine insemination (IUI) is a procedure to help you get pregnant. Sperm are put directly into your womb (uterus) when you're ovulating. It's also called artificial insemination.
Intrauterine insemination (IUI) can be used to help you get pregnant if:",N/A
Irregular periods,"Irregular periods are not usually a sign of a problem. But speak to a GP if your periods are irregular or your normal pattern of periods changes.
The average gap between periods starting (the menstrual cycle) is around 28 days. It can sometimes be a bit shorter or longer.",N/A
Irritable bowel syndrome (IBS),"IBS (irritable bowel syndrome) is a common condition that affects the digestive system. It can cause stomach cramps, bloating and diarrhoea. It’s usually a lifelong condition but lifestyle changes and medicine can help.","The main symptoms of IBS (irritable bowel syndrome) are:
- stomach pain or cramps – usually worse after eating and better after doing a poo
- bloating – your tummy may feel uncomfortably full and swollen
- diarrhoea – you may have watery poo and sometimes need to poo suddenly
- constipation – you may strain when pooing and feel like you cannot empty your bowels fully
There may be days when your symptoms are better and days when they're worse (flare-ups). They may be triggered by food or drink."
Isovaleric acidaemia,"Isovaleric acidaemia (IVA) is a rare, but potentially serious, inherited condition. It means the body can't process the amino acid leucine (amino acids are ""building blocks"" of protein). This causes a harmful build-up of the substance in the blood and urine.
Normally, our bodies break down protein foods like meat and fish into amino acids. Any amino acids that aren't needed are usually broken down and removed from the body.","The symptoms of IVA aren't the same for everyone with the condition and some people may have more severe or frequent symptoms.
Symptoms sometimes appear within the first few days or weeks after birth and may include:
- developing a distinctive odour of ""sweaty feet""
- poor feeding or loss of appetite
- weight loss
Babies with IVA may also have episodes known as a metabolic crisis. Symptoms of a metabolic crisis include:
- lack of energy
- vomiting
- irritability
- sleepiness and non-responsiveness
- floppiness and falling over
- poor feeding
- breathing difficulties
It's important to get medical help immediately if your baby develops symptoms of a metabolic crisis.
In some cases, a metabolic crisis may be triggered later in childhood by an infection or illness. The hospital should provide you with emergency treatment instructions to follow if your child is ill, which will help prevent these symptoms developing."
Itchy skin,"Itchy skin is not usually a sign of anything serious. You can often treat it yourself and it will usually go away after a few weeks.
Sometimes itching is caused by dry, cracked or irritated skin. There are simple things you can do to help ease the itching.",N/A
"Overview
    
 - 
      IVF","In vitro fertilisation (IVF) is one of several techniques available to help people with fertility problems have a baby.
During IVF, an egg is removed from the woman's ovaries and fertilised with sperm in a laboratory.",N/A
Japanese encephalitis,"Japanese encephalitis is a rare but serious infection you can get from mosquito bites in some parts of the world. If you're travelling to an area where there's a risk of catching it, you can get a vaccine to help prevent it.
Japanese encephalitis is not found in the UK. It's mostly found in rural areas of Asia, but it's rare for travellers to get it.","Most people who get Japanese encephalitis have no symptoms.
Some people get flu-like symptoms such as:
- a headache
- a high temperature
- feeling or being sick
- tummy pain
The symptoms usually go away on their own, but in some people the infection spreads to the brain and causes more serious symptoms such as:
- a severe headache
- feeling confused
- not being able to feel or move parts of your body (paralysis)
- seizures (fits)"
Jaundice,"Jaundice is when your skin or the whites of your eyes turn yellow. It can be a sign of something serious, such as liver disease, so you need to get urgent medical help.
You may also have itchy skin, darker pee and paler poo than usual.",N/A
"Overview
    
 - 
      Newborn jaundice","Jaundice in newborn babies is common and usually harmless. It causes yellowing of the skin and the whites of the eyes. The medical term for jaundice in babies is neonatal jaundice.
Yellowing of the skin can be more difficult to see in brown or black skin. It might be easier to see on the palms of the hands or the soles of the feet.","- dark, yellow urine (a newborn baby's urine should be colourless)
- pale-coloured poo (it should be yellow or orange)"
Temporomandibular disorder (TMD),"Temporomandibular disorder (TMD) is a condition affecting the movement of the jaw. It's not usually serious and generally gets better on its own.
The pain may be worse when chewing and when you feel stressed.","- pain around your jaw, ear and temple
- clicking, popping or grinding noises when you move your jaw
- a headache around your temples
- difficulty opening your mouth fully
- your jaw locking when you open your mouth"
Jellyfish and other sea creature stings,"Most stings from sea creatures in the UK are not serious and can be treated with first aid. Sometimes you may need to go to hospital.
If you've been stung by a sea creature such as a jellyfish, seek local medical advice as soon as possible. You could ask a lifeguard or someone with first aid training for help.","The main symptoms of sea creature stings are intense pain where you're stung and an itchy rash.
Jellyfish and Portuguese man-of-war stings can also cause raised stripes on the skin (welts)."
Jet lag,"Jet lag is when your normal sleep pattern is disturbed after a long flight. It usually improves within a few days as your body adjusts to the new time zone.
Jet lag cannot be prevented, but there are things you can do to reduce its effects.","The main symptoms of jet lag are:
- difficulty sleeping at bedtime and waking up in the morning
- tiredness and exhaustion
- difficulty staying awake during the day
- poor sleep quality
- concentration and memory problems
Jet lag can also sometimes causeindigestion,feeling sick (nausea),constipation, changes in appetite and mild anxiety."
Joint hypermobility syndrome,"Joint hypermobility syndrome is when you have very flexible joints (you may think of yourself as being double-jointed). It usually affects children and young people and often gets better as you get older.
You or your child may have joint hypermobility syndrome if you:","You or your child may have joint hypermobility syndrome if you:
- often get tired, even after rest
- keep getting pain and stiffness in your joints or muscles
- keep getting sprains and strains
- keep dislocating your joints (they ""pop out"")
- have poor balance or co-ordination
- have thin, stretchy skin
- have bladder or bowel problems
Some people with joint hypermobility syndrome do not have symptoms."
Joint pain,"Joint pain is common, especially as you get older. There are things you can do to ease the pain but get medical help if it's very painful or it does not get better.
Common types of joint pain include:",N/A
"Overview
    
 - 
      Kawasaki disease","Kawasaki disease is a condition that mainly affects children under the age of 5. It's also known as mucocutaneous lymph node syndrome.
A child with Kawasaki disease has a high temperature that lasts for 5 days or longer, and possibly 1 or more of the following symptoms:","- a rash
- swollen glands in the neck
- dry, red cracked lips
- a swollen, bumpy, red tongue (“strawberry tongue”)
- red inside the mouth and at the back of the throat
- swollen and red hands and feet
- red eyes"
Keloid scars,"A keloid scar is a raised scar left on the skin after a wound has healed. You cannot get rid of it, but treatment can help improve how it looks.
A keloid scar usually appears a few weeks to years after you damage or injure your skin, such as after a cut, burn or acne.",N/A
Keratosis pilaris,"Keratosis pilaris is a very common harmless condition where small bumps appear on your skin. It can last for a long time, but there are treatments that may help.
Symptoms of keratosis pilaris may include:",N/A
Kidney cancer,"Find out about kidney cancer, including the symptoms, causes, tests, treatments, and where to get support.","Often there are no obvious symptoms of kidney cancer. It’s usually diagnosed when testing for something else.
When there are symptoms, they can include:
- blood in your pee
- a lump or swelling in your back, under your ribs, or in your neck
- pain between your ribs and waist that does not go away
- loss of appetite or losing weight without trying to
- feeling tired or having no energy
- a high temperature that does not go away
- sweating a lot, including at night"
Kidney infection,"A kidney infection is a painful type of urinary tract infection that can affect one or both kidneys. It can be serious if it's not treated.
Symptoms of a kidney infection can include:","Symptoms of a kidney infection can include:
- a high temperature
- feeling or being sick
- pain in your lower back or side
- diarrhoea
- aching muscles and flu-like symptoms
- pain, burning or stinging when you pee
- needing to pee more often and urgently than usual
- pee that's dark or cloudy
Symptoms in young children may also include:
- wetting the bed or themselves
- being drowsy
A child under 2 years may only have a high temperature.
The symptoms may be similar to symptoms of other urinary tract infections (UTIs), such ascystitis."
"Overview
    
 - 
      Kidney stones","Kidney stones can develop in 1 or both kidneys and most often affect people aged 30 to 60.
They're quite common, with more than 1 in 10 people affected.","You may not notice if you have small kidney stones. You'll usually pee them out without any discomfort.
Larger kidney stones can cause several symptoms, including:
- pain in the side of your tummy (abdomen)
- severe pain that comes and goes
- feeling sick or vomiting
Find out more about the symptoms of kidney stones"
Klinefelter syndrome,"Klinefelter syndrome (sometimes called Klinefelter's, KS or XXY) is where boys and men are born with an extra X chromosome.
Chromosomes are packages of genes found in every cell in the body. There are 2 types of chromosome, called the sex chromosomes, that determine the genetic sex of a baby. These are named either X or Y.","Klinefelter syndrome does not usually cause any obvious symptoms early in childhood, and even the later symptoms may be difficult to spot.
Many boys and men do not realise they have it.
Possible features, which are not always present, may include:
- in babies and toddlers – weak muscles and very flexible (hypermobile) joints, learning to sit up, crawl, walk and talk later than usual, being quieter and more passive than usual, having undescended testicles, only one testicle, or a smaller penis
- in childhood – shyness and low self-confidence, problems with reading, writing, spelling and paying attention, milddyslexiaordyspraxia, low energy levels, and difficulty socialising or expressing feelings
- in teenagers – growing taller than expected for the family (with long arms and legs), broad hips, poor muscle tone and slower than usual muscle growth, reduced facial and body hair that starts growing later than usual, small, firm testes, and enlarged breasts (gynaecomastia)
- in adulthood –inability to have children naturally (infertility),low sex drive, small, firm testes, and erection problems."
Meniscus tear (knee cartilage damage),"A meniscus tear is a common type of damage to cartilage in the knee. The cartilage is found between the bones in the knee joint and protects them when you move. It usually gets damaged because of an injury.
A meniscus tear usually happens when you twist your knee while playing sport. But it can also happen from more minor injuries such as twisting when standing up.",There are some things you can do to ease symptoms of a meniscus tear.
"Overview
    
 - 
      Knee ligament surgery","If you tear the anterior cruciate ligament (ACL) in your knee, you may need to have reconstructive surgery.
The ACL is a tough band of tissue joining the thigh bone to the shin bone at the knee joint.",N/A
Knee pain,"Knee pain can often be treated at home. You should start to feel better in a few days. Call 111 if the pain is very bad.
If you have knee pain, try these things at first:",N/A
Knee replacement,"Find out what a knee replacement involves, when it might be recommended, and how it can help with knee pain and movement.",N/A
Knock knees,"Knock knees is when there's a gap between your ankles when you stand with your knees together. It's common in children aged 3 to 6 and usually gets better on its own as they grow without causing any problems. Sometimes older children or adults can have it.
MIKE DEVLIN/SCIENCE PHOTO LIBRARY https://www.sciencephoto.com/media/266657/view",N/A
Knocked-out tooth,"You can usually save a knocked-out tooth by either putting it back in place, or in milk, as soon as possible before seeing a dentist. You should never put a baby tooth back in.
There are things you can do yourself before seeing a dentist if your tooth has been knocked out.",N/A
"Overview
    
 - 
      Kyphosis","Kyphosis is curvature of the spine that causes the top of the back to appear more rounded than normal.
Everyone has some degree of curvature in their spine. However, a curve of more than 45 degrees is considered excessive.","- back painand stiffness
- tenderness of the spine
- tiredness"
Labial fusion,"Labial fusion, or labial adhesion, is when the small inner lips around the entrance to the vagina become sealed together.
In some cases, this can completely seal the vaginal opening, leaving a very small gap at the front that pee passes through.",N/A
Labyrinthitis and vestibular neuritis,"Labyrinthitis and vestibular neuritis are types of inner ear infection that affect your balance. They usually get better on their own within a few weeks.
The most common symptoms of labyrinthitis are:","- dizzinessor feeling that everything around you is spinning (vertigo)
- feeling unsteady and off balance – you might find it difficult to stay upright or walk in a straight line
- feeling or being sick
- hearing loss
- ringing in your ears (tinnitus)"
Lactate dehydrogenase (LDH) test,"A lactate dehydrogenase (LDH) test measures the amount of LDH in the blood.
Lactate dehydrogenase is an enzyme that the body uses during the process of turning sugar into energy for your cells to use.",N/A
Lactose intolerance,"Lactose intolerance is when you get symptoms, such as tummy pain, after eating food containing lactose, a sugar found in dairy products. The symptoms can be prevented by eating smaller portions of foods that contain lactose or avoiding them completely.
Symptoms of lactose intolerance can start a few minutes, or a few hours, after having food or drink containing lactose.","- tummy pain or discomfort
- bloating
- farting
- diarrhoea or constipation
- feeling sick or being sick"
Lambert-Eaton myasthenic syndrome,"Lambert-Eaton myasthenic syndrome (LEMS) is a rare condition that affects the signals sent from the nerves to the muscles.
It means the muscles are unable to tighten (contract) properly, resulting in muscle weakness and a range of other symptoms.","The symptoms of LEMS develop gradually over weeks or months.
The main symptoms are weakness in the legs, arms, neck and face, as well as problems with automatic body functions, such as controlling blood pressure.
Common symptoms include:
- aching muscles
- feeling very tired all the time (fatigue)
- difficulty walking and climbing stairs
- difficulty lifting objects or raising the arms
- drooping eyelids,dry eyesand blurred vision
- swallowing problems
- dizzinessupon standing
- adry mouth
- constipation
- erectile dysfunction
- muscle weakness that gets worse with time
See a GP if you have a combination of these symptoms."
Laparoscopy (keyhole surgery),"Laparoscopy is a type of keyhole surgery used to diagnose and treat conditions. It allows a surgeon to use only small cuts and a camera for procedures inside the tummy or pelvis.
A laparoscopy can be used to diagnose conditions such asappendicitis,pelvic inflammatory disease,endometriosisand some cancers, such asliver cancerandovarian cancer.",N/A
"Overview
    
 - 
      Laryngeal (larynx) cancer","Laryngeal cancer is a type of cancer that affects the larynx (voice box).
The larynx is part of the throat found at the entrance of the windpipe (trachea). It plays an important role in helping you breathe and speak.","The main symptom of laryngeal cancer is having a hoarse voice for more than 3 weeks.
Other symptoms include:
- a change in your voice, such as sounding hoarse
- pain when swallowing ordifficulty swallowing
- a lump or swelling in your neck
- a long-lastingcoughor breathlessness
- a persistentsore throatorearache
- a high-pitched wheezing noise when you breathe
- in severe cases, difficulty breathing
Some people may also experiencebad breath,unintentional weight loss, or fatigue (extreme tiredness)."
Laryngitis,"Laryngitis is when your voice box or vocal cords in the throat become irritated or swollen. It usually goes away by itself within 1 to 2 weeks.
Laryngitis usually comes on suddenly and gets worse during the first 3 days.","- a hoarse (croaky) voice
- sometimes losing your voice
- an irritating cough that does not go away
- always needing to clear your throat
- a sore throat"
Laser eye surgery and lens surgery,"Laser eye surgery and lens surgery are done to correct problems with your eyesight or to treat conditions that can lead to loss of vision.
Laser eye surgery and lens surgery are not usually offered on the NHS.",N/A
"Overview
    
 - 
      Learning disabilities","A learning disability affects the way a person learns new things throughout their life.
A learning disability is different for everyone. No two people are the same.",N/A
Leg cramps,"Leg cramps are common, usually harmless, and only last a short time. They can happen at any time, but most people have them at night or when resting.
Leg cramps happen when a muscle in the leg tightens and causes a sudden pain that can make it hard to move.",N/A
"Overview
    
 - 
      Venous leg ulcer","A leg ulcer is a long-lasting (chronic) sore that takes more than 2 weeks to heal. It usually develops on the inside of the leg, between the knee and the ankle.
Thesymptoms of a venous leg ulcerinclude pain, itching and swelling in the affected leg.","A venous leg ulcer can be susceptible to bacterial infection.
Symptoms of an infected leg ulcer can include:
- worsening pain
- a green or unpleasant discharge coming from the ulcer – redness may be harder to see on black or brown skin
- redness and swelling of the skin around the ulcer
- a high temperature (fever)
- an unpleasant smell coming from the ulcer"
Legionnaires' disease,"Legionnaires' disease is a lung infection you can get from inhaling droplets of water from things like air conditioning or hot tubs. It's uncommon but it can be very serious.
You can get Legionnaires' disease if you breathe in tiny droplets of water containing bacteria that cause the infection.","- a cough
- shortness of breath
- chest pain or discomfort, particularly when breathing or coughing
- a high temperature
- flu-like symptoms"
Leptospirosis (Weil's disease),"Leptospirosis, also called Weil's disease, is an infection you can get from animals, soil or water. It's rare in the UK.
Leptospirosis is spread in the pee of infected animals, most commonly rats, mice, cows, pigs and dogs.","Most people who get leptospirosis have no symptoms, or mild flu-like symptoms. But some people get seriously ill.
Symptoms of leptospirosis may include:
- high temperature
- headache
- body aches and pain
- tummy ache
- feeling sick or being sick
- diarrhoea
- redness in the white part of your eyes
- yellowing of the skin (which may be harder to see on black or brown skin) or white part of the eyes (jaundice)"
Leukoplakia,"Leukoplakia is a white patch or patches in the mouth. If you have a white patch in your mouth that does not go away, get it checked by a dentist or GP.
Medican / Alamy Stock Photo https://www.alamy.com/stock-photo-hairy-leukoplakia-31088074.html?pv=1&stamp=2&imageid=50B53D74-85FC-4C29-8279-1752D2D567FB&p=17774&n=0&orientation=0&pn=1&searchtype=0&IsFromSearch=1&srch=foo%3dbar%26st%3d0%26pn%3d1%26ps%3d100%26sortby%3d3%26resultview%3dsortbyRelevant%26npgs%3d0%26qt%3dleukoplakia%26qt_raw%3dleukoplakia%26lic%3d3%26mr%3d0%26pr%3d0%26ot%3d0%26creative%3d%26ag%3d0%26hc%3d0%26pc%3d%26blackwhite%3d%26cutout%3d%26tbar%3d1%26et%3d0x000000000000000000000%26vp%3d0%26loc%3d0%26imgt%3d0%26dtfr%3d%26dtto%3d%26size%3d0xFF%26archive%3d1%26groupid%3d%26pseudoid%3d62486%26a%3d%26cdid%3d%26cdsrt%3d%26name%3d%26qn%3d%26apalib%3d%26apalic%3d%26lightbox%3d%26gname%3d%26gtype%3d%26xstx%3d0%26simid%3d%26saveQry%3d%26editorial%3d%26nu%3d%26t%3d%26edoptin%3d%26bespoke%3d4%26customgeoip%3dGB%26apaid%3d%7b18B189B6-6A83-41BD-8442-2448A6B7E281%7d%26custspecid%3d14369B5F-24B7-4344-B743-D5DE569A1F46%26cap%3d1%26cbstore%3d1%26vd%3d0%26lb%3d%26fi%3d2%26edrf%3d0%26ispremium%3d1%26flip%3d0%26pl%3d",N/A
Lichen planus,"Lichen planus is a rash that can affect different parts of your body, including the inside of your mouth. See a GP if you think you might have it.
The main symptoms of lichen planus include:","- clusters of shiny, raised, purple-red blotches on your arms, legs or body (you may see fine white lines on the blotches) – the rash may be harder to see on black or brown skin
- white patches on your gums, tongue or the insides of your cheeks
- burning and stinging in your mouth, especially when you eat or drink
- bald patches appearing on your scalp
- sore red patches on your vulva
- rough, thinning nails with grooves on
- ring-shaped purple or white patches on your penis"
Lichen sclerosus,"Lichen sclerosus is a skin condition that causes itchy white patches, most commonly on the genitals. There's no cure, but treatment can help relieve the symptoms.
Lichen sclerosus affects people of all ages, including children. But it's much more common in women over 50.",N/A
Limping in children,"Limping in children is not usually serious and could be caused by something minor like a sprain or strain. But you should see a GP if it's not obvious what's causing it.
Limping in children is often caused by an obvious injury to the leg or foot, such as:",N/A
Lipoedema,"Lipoedema is an abnormal build-up of fat in your legs and sometimes arms. It can be painful and affect daily life, but there are things you can do that may help.
Lipoedema is more common in women. It usually affects both sides of the body equally.",N/A
Lipoma,"Lipomas are soft, fatty lumps that grow under your skin. They're harmless and do not usually need any treatment, but it's important to get any lumps checked by a GP.
DR P. MARAZZI/SCIENCE PHOTO LIBRARY https://www.sciencephoto.com/media/106645/view",N/A
Listeriosis,"Listeriosis is a rare infection caused by bacteria called listeria. It usually goes away on its own, but it can make some people seriously ill.
Listeriosis is usually caused by eating food contaminated with listeria bacteria.","In most people, listeriosis has no symptoms or only causes mild symptoms for a few days, such as:
- a high temperature
- aches and pains
- chills
- feeling or being sick
- diarrhoea
If you're pregnant, you may also have a stomach ache or notice your baby moving less than usual.
Babies with listeriosis may also be irritable and feed less than usual."
Liver cancer,Liver cancer is a cancer that's found anywhere in the liver.,"Liver cancer may not have any symptoms, or they might be hard to spot.
The symptoms are the same if the liver cancer starts in the liver (primary liver cancer) or spreads from another part of the body (secondary liver cancer).
Symptoms of liver cancer can include:
- the whites of your eyes turning yellow or your skin turning yellow, which may be less obvious on brown or black skin (jaundice) – you may also have itchy skin, darker pee and paler poo than usual
- loss of appetite orlosing weight without trying to
- feeling tired or having no energy
- feeling generally unwell or having symptoms like flu
- a lump in the right side of your tummy
Other symptoms can affect your digestion, such as:
- feeling or being sick
- pain at the top right side of your tummy or in your right shoulder
- symptoms ofindigestion, such as feeling full very quickly when eating
- a very swollen tummy that is not related to when you eat"
Liver disease,"There are many different types of liver disease. You can help prevent some of them by maintaining a healthy weight and staying within the recommended alcohol limits, if you drink.
There are several types of liver disease, which can have different causes.","Most types of liver disease do not cause any symptoms in the early stages.
Once you start to get symptoms of liver disease, your liver is already damaged and scarred. This is known ascirrhosis.
Symptoms of cirrhosis include:
- feeling very tired and weak all the time
- loss of appetite – which may lead to weight loss
- loss of sex drive (libido)
- yellow skin and whites of the eyes (jaundice)
- itchy skin
- feeling or being sick"
Local anaesthesia,"Local anaesthesia involves numbing an area of the body using a type of medicine called a local anaesthetic.
These medicines can be used to treat painful conditions, prevent pain during a procedure or operation, or relieve pain after surgery.",N/A
Long QT syndrome,"Long QT syndrome (LQTS) is a rare heart condition that's usually inherited. It can cause serious problems with your heart rhythm, but there are things you can do to reduce the risk.
Long QT syndrome can causeheart palpitations, where you suddenly feel your heart beating irregularly or faster than usual.","Long QT syndrome can causeheart palpitations, where you suddenly feel your heart beating irregularly or faster than usual.
Your heart rhythm usually goes back to normal on its own, but if it continues you may have:
- fainting
- a seizure or fit
- a cardiac arrest (where your heart beats so fast that not enough blood gets to your brain, so you become unconscious and stop breathing)
Symptoms can be triggered by exercise, a shock or sudden noise, excitement or stress. They can also happen while you're resting or sleeping.
Many people with long QT syndrome do not have any symptoms. Sometimes it's found when you have a heart rhythm test called an electrocardiogram (ECG) for another reason."
Long-sightedness,"Long-sightedness is where you find it hard to see things nearby, but you can see things far away clearly. It’s a common condition and wearing glasses or contact lenses can usually correct your vision.
Long-sightedness is also known as hypermetropia or hyperopia.","- finding it hard to see nearby things, for example, words and pictures in books or on screens may look fuzzy
- being able to see things more clearly when you move them further away from your eyes
- tired eyes after tasks that involve looking at something closely, like reading or working at a computer
- headaches"
Low sex drive (loss of libido),"There are many possible reasons for having a low sex drive (loss of libido). Treating the cause should help increase your sex drive.
Some of the main causes of a low sex drive include:",N/A
Low sperm count,"Low sperm count is when there's a low amount of sperm in your semen. It can make it harder for you and your partner to get pregnant (conceive), but itmay still be possible to conceive naturally and there arefertility treatments that can help.
Low sperm count can happen in men of any age. It can affect anyone who has testicles and produces sperm.","You could have a low sperm count if you and your partner are having difficulty getting pregnant (conceiving).
You usually find out you have a low sperm count after having tests to check your fertility."
Low white blood cell count,"A low white blood cell count usually means your body is not making enough white blood cells. It can increase your risk of getting infections.
Common causes of a low white blood cell count include:","- a high temperature
- chills and shivering
- sore throat
- mouth sores that keep coming back
- toothache
- skin rashes
- tiredness
- flu-like symptoms"
"Overview
    
 - 
      Lumbar decompression surgery","Lumbar decompression surgery is a type of surgery used to treat compressed nerves in the lower (lumbar) spine.
It's only recommended when non-surgical treatments haven't helped.",N/A
Lumbar puncture,"A lumbar puncture involves a needle being inserted into your lower back, between the bones in your spine. It may be done to find out why you're having certain symptoms, to treat a condition, or to give an anaesthetic.
There are a few different reasons why you might need a lumbar puncture.",N/A
Lumps,"Lumps can appear anywhere on your body. Most lumps are harmless but it's important to see a GP if you're worried or the lump is still there after 2 weeks.
It's common for people to get lumps and growths on their skin. They can be caused by many things.",N/A
