disease,input,symptoms
Homeopathy,"Homeopathy is a type of complementary or alternative medicine that’s based on the use of highly diluted substances, which practitioners claim can cause the body to heal itself.
A2010 House of Commons Science and Technology Committee report on homeopathysaid that homeopathic remedies perform no better than placebos (dummy treatments).",
Homocystinuria,"Homocystinuria (HCU) is a rare but potentially serious inherited condition.
It means the body can't process the amino acid methionine. This causes a harmful build-up of substances in the blood and urine. Symptoms: - vision problems, such as severeshort-sightedness (myopia) - weak bones (osteoporosis) - bone and joint problems - a risk of developingblood clotsandstrokes","- vision problems, such as severeshort-sightedness (myopia) - weak bones (osteoporosis) - bone and joint problems - a risk of developingblood clotsandstrokes"
Worms in humans,"Some types of worms can infect people. Some can be caught in the UK and others are only caught abroad. Most worm infections are not serious and can be easily treated with medicine.
A pharmacist can help if you have:",
How to check your breasts or chest,"Anyone can get breast cancer. It’s important to check your breasts or chest regularly (around once a month) for symptoms of breast cancer or other conditions.
Checking your breasts or chest regularly helps you learn what looks and feels normal for you. Symptoms: - a lump or swelling in your breast, chest or armpit - a change in the skin of your breast, such as dimpling (it may look like orange peel) or redness, which may be harder to see on black or brown skin - a change in size or shape of 1 or both breasts, or either side of your chest – it’s common for breasts to be different sizes, but check for any changes that are not normal for you - nipple discharge(if you're not pregnant or breastfeeding), which may have blood in it - a change in the shape or look of your nipple, such as it turning inwards (inverted nipple) or a rash on it (it may look like eczema) - sores or ulcers on your chest","- a lump or swelling in your breast, chest or armpit - a change in the skin of your breast, such as dimpling (it may look like orange peel) or redness, which may be harder to see on black or brown skin - a change in size or shape of 1 or both breasts, or either side of your chest – it’s common for breasts to be different sizes, but check for any changes that are not normal for you - nipple discharge(if you're not pregnant or breastfeeding), which may have blood in it - a change in the shape or look of your nipple, such as it turning inwards (inverted nipple) or a rash on it (it may look like eczema) - sores or ulcers on your chest"
How to check your testicles,"It's important to check your testicles (balls) regularly (around once a month) for symptoms of testicular cancer and other conditions.
Checking your testicles regularly means you can get to know what is normal for you. Symptoms: - lumps or swellings on your testicles – your testicles should feel smooth and firm, but not hard - changes to the size, weight or shape of your testicle – it's common for one testicle to be slightly bigger or hang lower, but check for any changes to them - anything else that is not normal for you","- lumps or swellings on your testicles – your testicles should feel smooth and firm, but not hard - changes to the size, weight or shape of your testicle – it's common for one testicle to be slightly bigger or hang lower, but check for any changes to them - anything else that is not normal for you"
How to collect a sample of poo (stool sample),"A poo sample can be used to check certain symptoms or to help find health conditions. You'll usually collect the sample yourself at home.
A doctor may ask you to collect a poo sample if you have symptoms that need checking. These include: Symptoms: - blood in your poo - diarrhoea - constipation - stomach pain or discomfort",- blood in your poo - diarrhoea - constipation - stomach pain or discomfort
Human papillomavirus (HPV),"Human papillomavirus (HPV) is the name of a very common group of viruses. They do not cause any problems in most people, but some types can cause genital warts or cancer.
HPV affects the skin. There are more than 100 different types.",
Huntington's disease,"Huntington's disease is an inherited condition that affects your movement, thinking and mood. It gets worse over time and cannot currently be cured, but there are treatments to help with the symptoms.
Symptoms of Huntington's disease usually start in adults aged between 30 and 50, but it can happen at any age. It affects people who have a parent with the condition. Symptoms: - difficulty concentrating and planning tasks - memory problems - low mood, depression and anxiety - changes in your behaviour and personality, such as becoming more irritable or impulsive – sometimes other people find these changes easier to notice - small twitching or jerking movements that you cannot control (called chorea) - becoming clumsy and finding it difficult to control your muscles - difficulty swallowing and speaking - losing weight - your muscles becoming stiff, and movement becoming slower and more difficult - more severe mood or personality changes","- difficulty concentrating and planning tasks - memory problems - low mood, depression and anxiety - changes in your behaviour and personality, such as becoming more irritable or impulsive – sometimes other people find these changes easier to notice - small twitching or jerking movements that you cannot control (called chorea) - becoming clumsy and finding it difficult to control your muscles - difficulty swallowing and speaking - losing weight - your muscles becoming stiff, and movement becoming slower and more difficult - more severe mood or personality changes"
Hydrocephalus,"Hydrocephalus is a build-up of fluid in the brain. The excess fluid puts pressure on the brain, which can damage it.
If left untreated, hydrocephalus can be fatal. Symptoms: - headache - being sick - blurred vision - difficulty walking",- headache - being sick - blurred vision - difficulty walking
Hydronephrosis,"Hydronephrosis is a condition where one or both kidneys become stretched and swollen as the result of a build-up of urine inside them.
It can affect people of any age and is sometimes spotted in unborn babies during routine pregnancyultrasound scans. This is known as antenatal hydronephrosis. Symptoms: - pain in your back or side – this may be sudden and severe, or may be a dull ache that comes and goes over time; it may get worse after you have drunk a lot of fluid - symptoms of a UTI, such as needing to pee more often, pain or a burning sensation while peeing, and feeling tired and unwell - blood in your urine - urinating less often than you used to or with a weak stream","- pain in your back or side – this may be sudden and severe, or may be a dull ache that comes and goes over time; it may get worse after you have drunk a lot of fluid - symptoms of a UTI, such as needing to pee more often, pain or a burning sensation while peeing, and feeling tired and unwell - blood in your urine - urinating less often than you used to or with a weak stream"
Noise sensitivity (hyperacusis),"Hyperacusis is when everyday sounds seem much louder to you than they should. Treatment can help. See a GP if you think you have hyperacusis.
You may have hyperacusis if some everyday sounds seem much louder than they should. It can sometimes be painful.",
Hyperparathyroidism,"Hyperparathyroidism is where the parathyroid glands (in the neck, near the thyroid gland) produce too much parathyroid hormone.
There are 4 small glands that make this hormone, which helps your body manage the calcium levels it needs. Symptoms: - depression - tiredness - feeling thirsty and peeing a lot - feeling sick and losing your appetite - muscle weakness - constipation - tummy pain - loss of concentration - mild confusion",- depression - tiredness - feeling thirsty and peeing a lot - feeling sick and losing your appetite - muscle weakness - constipation - tummy pain - loss of concentration - mild confusion
Overactive thyroid (hyperthyroidism),"An overactive thyroid, also known as hyperthyroidism or thyrotoxicosis, is where the thyroid gland produces too much of the thyroid hormones.
The thyroid is a small butterfly-shaped gland in the neck, just in front of the windpipe (trachea). It produces hormones that affect things such as your heart rate and body temperature. Symptoms: - nervousness, anxiety and irritability - mood swings - difficulty sleeping - persistent tiredness and weakness - sensitivity to heat - swelling in your neck from anenlarged thyroid gland (goitre) - an irregular and/or unusually fast heart rate(palpitations) - twitching ortrembling - weight loss","- nervousness, anxiety and irritability - mood swings - difficulty sleeping - persistent tiredness and weakness - sensitivity to heat - swelling in your neck from anenlarged thyroid gland (goitre) - an irregular and/or unusually fast heart rate(palpitations) - twitching ortrembling - weight loss"
Hypnotherapy,"Hypnotherapy uses hypnosis to try to treat conditions or change habits.
There are different types of hypnotherapy, and different ways of hypnotising someone.",
Low blood sugar (hypoglycaemia),"Low blood sugar (hypoglycaemia or a hypo) is usually where your blood sugar (glucose) is below 4mmol/L. It needs to be treated quickly to stop it getting worse, but you can usually treat it yourself.
You can also have blood sugar that's too high. This is calledhigh blood sugar (hyperglycaemia). Symptoms: - feeling hungry - feeling dizzy - feeling anxious or irritable - sweating - shaking - tingling lips - heart palpitations - feeling tired or weak - changes in your vision such as blurred vision - feeling confused",- feeling hungry - feeling dizzy - feeling anxious or irritable - sweating - shaking - tingling lips - heart palpitations - feeling tired or weak - changes in your vision such as blurred vision - feeling confused
Hypoparathyroidism,"Hypoparathyroidism (sometime called ""hypopara"") is a rare condition where small glands in your neck (parathyroid glands) do not work properly. It can lead to problems with your bones, muscles and nerves, but can usually be treated by taking supplements.
Hyperparathyroidism is a condition where there is too much calcium in the body. It is more common than hypoparathyroidism. Symptoms: - a tingling or burning sensation in your fingers, toes and face - muscle pain, stiffness and spasms - tummy pain - brittle nails, dry hair and dry skin - cataracts (cloudy patches that form at the front of your eyes) - confusion - an irregular heartbeat - seizures (fits)","- a tingling or burning sensation in your fingers, toes and face - muscle pain, stiffness and spasms - tummy pain - brittle nails, dry hair and dry skin - cataracts (cloudy patches that form at the front of your eyes) - confusion - an irregular heartbeat - seizures (fits)"
Hypothermia,"Hypothermia is a dangerous drop in body temperature below 35C (normal body temperature is around 37C). It's a medical emergency that needs to be treated in hospital.
A baby with hypothermia may be: Symptoms: - shivering - pale, cold and dry skin – skin and lips may turn blue or grey (on black or brown skin this may be easier to see on the palms of the hands or the soles of the feet) - slurred speech - slow breathing - tiredness or confusion","- shivering - pale, cold and dry skin – skin and lips may turn blue or grey (on black or brown skin this may be easier to see on the palms of the hands or the soles of the feet) - slurred speech - slow breathing - tiredness or confusion"
Underactive thyroid (hypothyroidism),"An underactive thyroid gland (hypothyroidism) is where your thyroid gland does not produce enough hormones.
Common signs of an underactive thyroid are tiredness, weight gain and feeling depressed. Symptoms: - tiredness - weight gain - depression - being sensitive to the cold - dry skin and hair - muscle aches",- tiredness - weight gain - depression - being sensitive to the cold - dry skin and hair - muscle aches
Hysterectomy,"A hysterectomy is a surgical procedure to remove the womb (uterus). You'll no longer be able to get pregnant after the operation.
If you have not already gone through themenopause, you'll no longer have periods, regardless of your age.",
Hysteroscopy,"A hysteroscopy is a test to look inside a woman's womb, using a thin tube with a small camera inside it. The womb is where a baby grows in pregnancy.
Anyone with a womb can have a hysteroscopy, as long as they are not pregnant.",
Inflammatory bowel disease,"Inflammatory bowel disease (IBD) is a term used to describe conditions that cause severe tummy pain and diarrhoea. IBD is long-term, but there are treatments that can help with the symptoms.
The main types of IBD areCrohn's diseaseandulcerative colitis. Symptoms: - diarrhoea that lasts longer than 4 weeks - tummy pain - blood or mucus (clear slime) in your poo - bleeding from your bottom - feeling tired all the time - losing weight without trying",- diarrhoea that lasts longer than 4 weeks - tummy pain - blood or mucus (clear slime) in your poo - bleeding from your bottom - feeling tired all the time - losing weight without trying
Ichthyosis,"Ichthyosis is a group of rare skin conditions thatcausedry,scaly skin.It's usually something you're born with, but it can happen later in life. It cannot usually becured, but there are treatments to help the symptoms.
The main symptom of ichthyosis is very dry, scaly skin that may also be thick and rough.",
Idiopathic pulmonary fibrosis,"Idiopathic pulmonary fibrosis (IPF) is a condition in which the lungs become scarred and breathing becomes increasingly difficult.
It's not clear what causes it, but it usually affects people who are around 70 to 75 years old, and is rare in people under 50. Symptoms: - shortness of breath - a persistent drycough - tiredness - loss of appetite andweight loss - rounded and swollen fingertips (clubbed fingers)",- shortness of breath - a persistent drycough - tiredness - loss of appetite andweight loss - rounded and swollen fingertips (clubbed fingers)
Ileostomy,"Read about ileostomy, an operation to bring the end of your small bowel through an opening in your tummy to form a stoma. Find out why it's done, what it involves, possible complications and what to expect after the operation.",
Impetigo,"Impetigo is a skin infection that's very contagious but not usually serious. Anyone can get it, but it's more common in young children. With treatment, impetigo often gets better in a few days.
Impetigo starts with red sores or blisters, but the redness may be harder to see on brown and black skin.",
Urinary incontinence,"Urinary incontinence is the unintentional passing of urine. It's a common problem thought to affect millions of people.
There are several types of urinary incontinence, including: Symptoms: - problems with storing urine, such as an urgent or frequent need to pass urine or feeling like you need to go again straight after you've just been - problems with passing urine, such as a slow stream of urine, straining to pass urine, or stopping and starting as you pass urine - problems after you've passed urine, such as feeling that you've not completely emptied your bladder or passing a few drops of urine after you think you've finished","- problems with storing urine, such as an urgent or frequent need to pass urine or feeling like you need to go again straight after you've just been - problems with passing urine, such as a slow stream of urine, straining to pass urine, or stopping and starting as you pass urine - problems after you've passed urine, such as feeling that you've not completely emptied your bladder or passing a few drops of urine after you think you've finished"
Indigestion,"Most people have indigestion (dyspepsia) at some point. Usually, it's not a sign of anything more serious and you can treat it yourself.
Indigestion can be felt in different ways. Symptoms: - heartburn – a painful burning feeling in the chest, often after eating - feeling full and bloated - feeling sick - burping and farting - bringing up food or bitter-tasting fluids into your mouth","- heartburn – a painful burning feeling in the chest, often after eating - feeling full and bloated - feeling sick - burping and farting - bringing up food or bitter-tasting fluids into your mouth"
Infected piercings,"An infected piercing can be serious if it's not treated quickly. Get immediate medical help if you think your piercing is infected.
For the first few weeks a new piercing might: Symptoms: - the area around it is swollen, painful, hot, very red or dark (depending on your skin colour) - there's blood or pus coming out of it – pus can be white, green or yellow - you feel hot or shivery or generally unwell","- the area around it is swollen, painful, hot, very red or dark (depending on your skin colour) - there's blood or pus coming out of it – pus can be white, green or yellow - you feel hot or shivery or generally unwell"
Infertility,"Infertility is when a couple cannot get pregnant (conceive) despite having regular unprotected sex.
Around 1 in 7 couples may have difficulty conceiving.",
Ingrown hairs,"Ingrown hairs cause bumps, which are often itchy, where a hair has grown back into the skin. There are things you can do to treat and prevent them and in most cases you will not need to a see a GP for treatment.
Ingrown hairs can look like raised, itchy bumps on the skin.",
Ingrown toenail,"An ingrown toenail is a common problem where the nail grows into the toe. It can be painful, but there are things you can do to ease the pain.
You usually get an ingrown toenail on your big toe. But you can get them on any toe.",
Insect bites and stings,"Insect bites or stings are not usually serious and get better in a few days. But sometimes they can become infected or cause a serious allergic reaction.
Bites from some insects can also cause illnesses, such asLyme diseasefrom ticks,scabiesfrom mites, andmalariafrom mosquitoes in certain parts of the world.",
Insomnia,"Insomnia means you regularly have problems sleeping. It usually gets better by changing your sleeping habits.
You have insomnia if you regularly:",
Intensive care,"Intensive care units (ICUs) are specialist hospital wards that provide treatment and monitoring for people who are very ill.
They're staffed with specially trained healthcare professionals and contain sophisticated monitoring equipment.",
Intracranial hypertension,"Intracranial hypertension (IH) is a build-up of pressure around the brain.
It can happen suddenly, for example, as the result of a severehead injury,strokeor rupturedbrain aneurysm. Symptoms: - a constant throbbing headache which may be worse in the morning, or when coughing or straining; it may improve when standing up - temporary loss of vision – your vision may become dark or ""greyed out"" for a few seconds at a time; this can be triggered by coughing, sneezing or bending down - feeling and being sick - feeling sleepy - feeling irritable - finding it difficult or painful to look at bright lights (photophobia) - hearing a pulsing rhythmic noise in your ears (pulsatile tinnitus) - problems with co-ordination and balance - mental confusion - loss of feeling or weakness","- a constant throbbing headache which may be worse in the morning, or when coughing or straining; it may improve when standing up - temporary loss of vision – your vision may become dark or ""greyed out"" for a few seconds at a time; this can be triggered by coughing, sneezing or bending down - feeling and being sick - feeling sleepy - feeling irritable - finding it difficult or painful to look at bright lights (photophobia) - hearing a pulsing rhythmic noise in your ears (pulsatile tinnitus) - problems with co-ordination and balance - mental confusion - loss of feeling or weakness"
Intrauterine insemination (IUI),"Intrauterine insemination (IUI) is a procedure to help you get pregnant. Sperm are put directly into your womb (uterus) when you're ovulating. It's also called artificial insemination.
Intrauterine insemination (IUI) can be used to help you get pregnant if:",
Irregular periods,"Irregular periods are not usually a sign of a problem. But speak to a GP if your periods are irregular or your normal pattern of periods changes.
The average gap between periods starting (the menstrual cycle) is around 28 days. It can sometimes be a bit shorter or longer.",
Irritable bowel syndrome (IBS),"IBS (irritable bowel syndrome) is a common condition that affects the digestive system. It can cause stomach cramps, bloating and diarrhoea. It’s usually a lifelong condition but lifestyle changes and medicine can help. Symptoms: - stomach pain or cramps – usually worse after eating and better after doing a poo - bloating – your tummy may feel uncomfortably full and swollen - diarrhoea – you may have watery poo and sometimes need to poo suddenly - constipation – you may strain when pooing and feel like you cannot empty your bowels fully",- stomach pain or cramps – usually worse after eating and better after doing a poo - bloating – your tummy may feel uncomfortably full and swollen - diarrhoea – you may have watery poo and sometimes need to poo suddenly - constipation – you may strain when pooing and feel like you cannot empty your bowels fully
Isovaleric acidaemia,"Isovaleric acidaemia (IVA) is a rare, but potentially serious, inherited condition. It means the body can't process the amino acid leucine (amino acids are ""building blocks"" of protein). This causes a harmful build-up of the substance in the blood and urine.
Normally, our bodies break down protein foods like meat and fish into amino acids. Any amino acids that aren't needed are usually broken down and removed from the body. Symptoms: - developing a distinctive odour of ""sweaty feet"" - poor feeding or loss of appetite - weight loss - lack of energy - vomiting - irritability - sleepiness and non-responsiveness - floppiness and falling over - poor feeding - breathing difficulties","- developing a distinctive odour of ""sweaty feet"" - poor feeding or loss of appetite - weight loss - lack of energy - vomiting - irritability - sleepiness and non-responsiveness - floppiness and falling over - poor feeding - breathing difficulties"
Itchy skin,"Itchy skin is not usually a sign of anything serious. You can often treat it yourself and it will usually go away after a few weeks.
Sometimes itching is caused by dry, cracked or irritated skin. There are simple things you can do to help ease the itching.",
IVF,"In vitro fertilisation (IVF) is one of several techniques available to help people with fertility problems have a baby.
During IVF, an egg is removed from the woman's ovaries and fertilised with sperm in a laboratory.",
Japanese encephalitis,"Japanese encephalitis is a rare but serious infection you can get from mosquito bites in some parts of the world. If you're travelling to an area where there's a risk of catching it, you can get a vaccine to help prevent it.
Japanese encephalitis is not found in the UK. It's mostly found in rural areas of Asia, but it's rare for travellers to get it. Symptoms: - a headache - a high temperature - feeling or being sick - tummy pain - a severe headache - feeling confused - not being able to feel or move parts of your body (paralysis) - seizures (fits)",- a headache - a high temperature - feeling or being sick - tummy pain - a severe headache - feeling confused - not being able to feel or move parts of your body (paralysis) - seizures (fits)
Jaundice,"Jaundice is when your skin or the whites of your eyes turn yellow. It can be a sign of something serious, such as liver disease, so you need to get urgent medical help.
You may also have itchy skin, darker pee and paler poo than usual.",
Newborn jaundice,"Jaundice in newborn babies is common and usually harmless. It causes yellowing of the skin and the whites of the eyes. The medical term for jaundice in babies is neonatal jaundice.
Yellowing of the skin can be more difficult to see in brown or black skin. It might be easier to see on the palms of the hands or the soles of the feet. Symptoms: - dark, yellow urine (a newborn baby's urine should be colourless) - pale-coloured poo (it should be yellow or orange)","- dark, yellow urine (a newborn baby's urine should be colourless) - pale-coloured poo (it should be yellow or orange)"
Temporomandibular disorder (TMD),"Temporomandibular disorder (TMD) is a condition affecting the movement of the jaw. It's not usually serious and generally gets better on its own.
The pain may be worse when chewing and when you feel stressed. Symptoms: - pain around your jaw, ear and temple - clicking, popping or grinding noises when you move your jaw - a headache around your temples - difficulty opening your mouth fully - your jaw locking when you open your mouth","- pain around your jaw, ear and temple - clicking, popping or grinding noises when you move your jaw - a headache around your temples - difficulty opening your mouth fully - your jaw locking when you open your mouth"
Jellyfish and other sea creature stings,"Most stings from sea creatures in the UK are not serious and can be treated with first aid. Sometimes you may need to go to hospital.
If you've been stung by a sea creature such as a jellyfish, seek local medical advice as soon as possible. You could ask a lifeguard or someone with first aid training for help.",
Jet lag,"Jet lag is when your normal sleep pattern is disturbed after a long flight. It usually improves within a few days as your body adjusts to the new time zone.
Jet lag cannot be prevented, but there are things you can do to reduce its effects. Symptoms: - difficulty sleeping at bedtime and waking up in the morning - tiredness and exhaustion - difficulty staying awake during the day - poor sleep quality - concentration and memory problems",- difficulty sleeping at bedtime and waking up in the morning - tiredness and exhaustion - difficulty staying awake during the day - poor sleep quality - concentration and memory problems
Joint hypermobility syndrome,"Joint hypermobility syndrome is when you have very flexible joints (you may think of yourself as being double-jointed). It usually affects children and young people and often gets better as you get older.
You or your child may have joint hypermobility syndrome if you: Symptoms: - often get tired, even after rest - keep getting pain and stiffness in your joints or muscles - keep getting sprains and strains - keep dislocating your joints (they ""pop out"") - have poor balance or co-ordination - have thin, stretchy skin - have bladder or bowel problems","- often get tired, even after rest - keep getting pain and stiffness in your joints or muscles - keep getting sprains and strains - keep dislocating your joints (they ""pop out"") - have poor balance or co-ordination - have thin, stretchy skin - have bladder or bowel problems"
Joint pain,"Joint pain is common, especially as you get older. There are things you can do to ease the pain but get medical help if it's very painful or it does not get better.
Common types of joint pain include:",
Kawasaki disease,"Kawasaki disease is a condition that mainly affects children under the age of 5. It's also known as mucocutaneous lymph node syndrome.
A child with Kawasaki disease has a high temperature that lasts for 5 days or longer, and possibly 1 or more of the following symptoms: Symptoms: - a rash - swollen glands in the neck - dry, red cracked lips - a swollen, bumpy, red tongue (“strawberry tongue”) - red inside the mouth and at the back of the throat - swollen and red hands and feet - red eyes","- a rash - swollen glands in the neck - dry, red cracked lips - a swollen, bumpy, red tongue (“strawberry tongue”) - red inside the mouth and at the back of the throat - swollen and red hands and feet - red eyes"
Keloid scars,"A keloid scar is a raised scar left on the skin after a wound has healed. You cannot get rid of it, but treatment can help improve how it looks.
A keloid scar usually appears a few weeks to years after you damage or injure your skin, such as after a cut, burn or acne.",
Keratosis pilaris,"Keratosis pilaris is a very common harmless condition where small bumps appear on your skin. It can last for a long time, but there are treatments that may help.
Symptoms of keratosis pilaris may include:",
Kidney cancer,"Find out about kidney cancer, including the symptoms, causes, tests, treatments, and where to get support. Symptoms: - blood in your pee - a lump or swelling in your back, under your ribs, or in your neck - pain between your ribs and waist that does not go away - loss of appetite or losing weight without trying to - feeling tired or having no energy - a high temperature that does not go away - sweating a lot, including at night","- blood in your pee - a lump or swelling in your back, under your ribs, or in your neck - pain between your ribs and waist that does not go away - loss of appetite or losing weight without trying to - feeling tired or having no energy - a high temperature that does not go away - sweating a lot, including at night"
Kidney infection,"A kidney infection is a painful type of urinary tract infection that can affect one or both kidneys. It can be serious if it's not treated.
Symptoms of a kidney infection can include: Symptoms: - a high temperature - feeling or being sick - pain in your lower back or side - diarrhoea - aching muscles and flu-like symptoms - pain, burning or stinging when you pee - needing to pee more often and urgently than usual - pee that's dark or cloudy - wetting the bed or themselves - being drowsy","- a high temperature - feeling or being sick - pain in your lower back or side - diarrhoea - aching muscles and flu-like symptoms - pain, burning or stinging when you pee - needing to pee more often and urgently than usual - pee that's dark or cloudy - wetting the bed or themselves - being drowsy"
Kidney stones,"Kidney stones can develop in 1 or both kidneys and most often affect people aged 30 to 60.
They're quite common, with more than 1 in 10 people affected. Symptoms: - pain in the side of your tummy (abdomen) - severe pain that comes and goes - feeling sick or vomiting",- pain in the side of your tummy (abdomen) - severe pain that comes and goes - feeling sick or vomiting
Klinefelter syndrome,"Klinefelter syndrome (sometimes called Klinefelter's, KS or XXY) is where boys and men are born with an extra X chromosome.
Chromosomes are packages of genes found in every cell in the body. There are 2 types of chromosome, called the sex chromosomes, that determine the genetic sex of a baby. These are named either X or Y. Symptoms: - in babies and toddlers – weak muscles and very flexible (hypermobile) joints, learning to sit up, crawl, walk and talk later than usual, being quieter and more passive than usual, having undescended testicles, only one testicle, or a smaller penis - in childhood – shyness and low self-confidence, problems with reading, writing, spelling and paying attention, milddyslexiaordyspraxia, low energy levels, and difficulty socialising or expressing feelings - in teenagers – growing taller than expected for the family (with long arms and legs), broad hips, poor muscle tone and slower than usual muscle growth, reduced facial and body hair that starts growing later than usual, small, firm testes, and enlarged breasts (gynaecomastia) - in adulthood –inability to have children naturally (infertility),low sex drive, small, firm testes, and erection problems.","- in babies and toddlers – weak muscles and very flexible (hypermobile) joints, learning to sit up, crawl, walk and talk later than usual, being quieter and more passive than usual, having undescended testicles, only one testicle, or a smaller penis - in childhood – shyness and low self-confidence, problems with reading, writing, spelling and paying attention, milddyslexiaordyspraxia, low energy levels, and difficulty socialising or expressing feelings - in teenagers – growing taller than expected for the family (with long arms and legs), broad hips, poor muscle tone and slower than usual muscle growth, reduced facial and body hair that starts growing later than usual, small, firm testes, and enlarged breasts (gynaecomastia) - in adulthood –inability to have children naturally (infertility),low sex drive, small, firm testes, and erection problems."
Meniscus tear (knee cartilage damage),"A meniscus tear is a common type of damage to cartilage in the knee. The cartilage is found between the bones in the knee joint and protects them when you move. It usually gets damaged because of an injury.
A meniscus tear usually happens when you twist your knee while playing sport. But it can also happen from more minor injuries such as twisting when standing up.",
Knee ligament surgery,"If you tear the anterior cruciate ligament (ACL) in your knee, you may need to have reconstructive surgery.
The ACL is a tough band of tissue joining the thigh bone to the shin bone at the knee joint.",
Knee pain,"Knee pain can often be treated at home. You should start to feel better in a few days. Call 111 if the pain is very bad.
If you have knee pain, try these things at first:",
Knee replacement,"Find out what a knee replacement involves, when it might be recommended, and how it can help with knee pain and movement.",
Knock knees,"Knock knees is when there's a gap between your ankles when you stand with your knees together. It's common in children aged 3 to 6 and usually gets better on its own as they grow without causing any problems. Sometimes older children or adults can have it.
MIKE DEVLIN/SCIENCE PHOTO LIBRARY https://www.sciencephoto.com/media/266657/view",
Knocked out tooth,"You can usually save a knocked-out tooth by either putting it back in place, or in milk, as soon as possible before seeing a dentist. You should never put a baby tooth back in.
There are things you can do yourself before seeing a dentist if your tooth has been knocked out.",
Kyphosis,"Kyphosis is curvature of the spine that causes the top of the back to appear more rounded than normal.
Everyone has some degree of curvature in their spine. However, a curve of more than 45 degrees is considered excessive. Symptoms: - back painand stiffness - tenderness of the spine - tiredness",- back painand stiffness - tenderness of the spine - tiredness
Labial fusion,"Labial fusion, or labial adhesion, is when the small inner lips around the entrance to the vagina become sealed together.
In some cases, this can completely seal the vaginal opening, leaving a very small gap at the front that pee passes through.",
Labyrinthitis and vestibular neuritis,"Labyrinthitis and vestibular neuritis are types of inner ear infection that affect your balance. They usually get better on their own within a few weeks.
The most common symptoms of labyrinthitis are: Symptoms: - dizzinessor feeling that everything around you is spinning (vertigo) - feeling unsteady and off balance – you might find it difficult to stay upright or walk in a straight line - feeling or being sick - hearing loss - ringing in your ears (tinnitus)",- dizzinessor feeling that everything around you is spinning (vertigo) - feeling unsteady and off balance – you might find it difficult to stay upright or walk in a straight line - feeling or being sick - hearing loss - ringing in your ears (tinnitus)
Lactate dehydrogenase (LDH) test,"A lactate dehydrogenase (LDH) test measures the amount of LDH in the blood.
Lactate dehydrogenase is an enzyme that the body uses during the process of turning sugar into energy for your cells to use.",
Lactose intolerance,"Lactose intolerance is when you get symptoms, such as tummy pain, after eating food containing lactose, a sugar found in dairy products. The symptoms can be prevented by eating smaller portions of foods that contain lactose or avoiding them completely.
Symptoms of lactose intolerance can start a few minutes, or a few hours, after having food or drink containing lactose. Symptoms: - tummy pain or discomfort - bloating - farting - diarrhoea or constipation - feeling sick or being sick",- tummy pain or discomfort - bloating - farting - diarrhoea or constipation - feeling sick or being sick
Lambert Eaton myasthenic syndrome,"Lambert-Eaton myasthenic syndrome (LEMS) is a rare condition that affects the signals sent from the nerves to the muscles.
It means the muscles are unable to tighten (contract) properly, resulting in muscle weakness and a range of other symptoms. Symptoms: - aching muscles - feeling very tired all the time (fatigue) - difficulty walking and climbing stairs - difficulty lifting objects or raising the arms - drooping eyelids,dry eyesand blurred vision - swallowing problems - dizzinessupon standing - adry mouth - constipation - erectile dysfunction - muscle weakness that gets worse with time","- aching muscles - feeling very tired all the time (fatigue) - difficulty walking and climbing stairs - difficulty lifting objects or raising the arms - drooping eyelids,dry eyesand blurred vision - swallowing problems - dizzinessupon standing - adry mouth - constipation - erectile dysfunction - muscle weakness that gets worse with time"
Laparoscopy (keyhole surgery),"Laparoscopy is a type of keyhole surgery used to diagnose and treat conditions. It allows a surgeon to use only small cuts and a camera for procedures inside the tummy or pelvis.
A laparoscopy can be used to diagnose conditions such asappendicitis,pelvic inflammatory disease,endometriosisand some cancers, such asliver cancerandovarian cancer.",
Laryngeal (larynx) cancer,"Laryngeal cancer is a type of cancer that affects the larynx (voice box).
The larynx is part of the throat found at the entrance of the windpipe (trachea). It plays an important role in helping you breathe and speak. Symptoms: - a change in your voice, such as sounding hoarse - pain when swallowing ordifficulty swallowing - a lump or swelling in your neck - a long-lastingcoughor breathlessness - a persistentsore throatorearache - a high-pitched wheezing noise when you breathe - in severe cases, difficulty breathing","- a change in your voice, such as sounding hoarse - pain when swallowing ordifficulty swallowing - a lump or swelling in your neck - a long-lastingcoughor breathlessness - a persistentsore throatorearache - a high-pitched wheezing noise when you breathe - in severe cases, difficulty breathing"
Laryngitis,"Laryngitis is when your voice box or vocal cords in the throat become irritated or swollen. It usually goes away by itself within 1 to 2 weeks.
Laryngitis usually comes on suddenly and gets worse during the first 3 days. Symptoms: - a hoarse (croaky) voice - sometimes losing your voice - an irritating cough that does not go away - always needing to clear your throat - a sore throat",- a hoarse (croaky) voice - sometimes losing your voice - an irritating cough that does not go away - always needing to clear your throat - a sore throat
Laser eye surgery and lens surgery,"Laser eye surgery and lens surgery are done to correct problems with your eyesight or to treat conditions that can lead to loss of vision.
Laser eye surgery and lens surgery are not usually offered on the NHS.",
Learning disabilities,"A learning disability affects the way a person learns new things throughout their life.
A learning disability is different for everyone. No two people are the same.",
Leg cramps,"Leg cramps are common, usually harmless, and only last a short time. They can happen at any time, but most people have them at night or when resting.
Leg cramps happen when a muscle in the leg tightens and causes a sudden pain that can make it hard to move.",
